,NUE US Equity
,CURRENT_EV_TO_T12M_EBIT
2023-02-28,4.3871
2023-03-01,4.4497
2023-03-02,4.5718
2023-03-03,4.6345
2023-03-04,4.6345
2023-03-05,4.6345
2023-03-06,4.566
2023-03-07,4.4611
2023-03-08,4.5115
2023-03-09,4.3798
2023-03-10,4.1626
2023-03-11,4.1626
2023-03-12,4.1626
2023-03-13,4.079
2023-03-14,4.0986
2023-03-15,3.8219
2023-03-16,3.8366
2023-03-17,3.8052
2023-03-18,3.8052
2023-03-19,3.8052
2023-03-20,3.896
2023-03-21,3.9984
2023-03-22,3.8882
2023-03-23,3.8991
2023-03-24,3.9149
2023-03-25,3.9149
2023-03-26,3.9149
2023-03-27,3.9306
2023-03-28,3.9049
2023-03-29,3.9456
2023-03-30,3.9805
2023-03-31,4.6129
2023-04-01,4.6129
2023-04-02,4.6129
2023-04-03,4.6124
2023-04-04,4.3177
2023-04-05,4.3077
2023-04-06,4.3648
2023-04-07,4.3648
2023-04-08,4.3648
2023-04-09,4.3648
2023-04-10,4.4012
2023-04-11,4.4534
2023-04-12,4.4239
2023-04-13,4.4009
2023-04-14,4.3832
2023-04-15,4.3832
2023-04-16,4.3832
2023-04-17,4.4242
2023-04-18,4.5188
2023-04-19,4.4226
2023-04-20,4.6479
2023-04-21,4.5846
2023-04-22,4.5846
2023-04-23,4.5846
2023-04-24,4.6287
2023-04-25,4.432
2023-04-26,4.3363
2023-04-27,4.4414
2023-04-28,4.4384
2023-04-29,4.4384
2023-04-30,4.4384
2023-05-01,4.4337
2023-05-02,4.3934
2023-05-03,4.3832
2023-05-04,4.2081
2023-05-05,4.2758
2023-05-06,4.2758
2023-05-07,4.2758
2023-05-08,4.2563
2023-05-09,4.2161
2023-05-10,4.1346
2023-05-11,4.1316
2023-05-12,4.175
2023-05-13,4.175
2023-05-14,4.175
2023-05-15,4.2138
2023-05-16,4.1114
2023-05-17,4.1905
2023-05-18,4.2083
2023-05-19,4.1637
2023-05-20,4.1637
2023-05-21,4.1637
2023-05-22,4.1994
2023-05-23,4.1153
2023-05-24,4.017
2023-05-25,4.0536
2023-05-26,4.0937
2023-05-27,4.0937
2023-05-28,4.0937
2023-05-29,4.0937
2023-05-30,4.0071
2023-05-31,3.9808
2023-06-01,4.0076
2023-06-02,4.2362
2023-06-03,4.2362
2023-06-04,4.2362
2023-06-05,4.2265
2023-06-06,4.2976
2023-06-07,4.4199
2023-06-08,4.3898
2023-06-09,4.3541
2023-06-10,4.3541
2023-06-11,4.3541
2023-06-12,4.4352
2023-06-13,4.5981
2023-06-14,4.4949
2023-06-15,4.5099
2023-06-16,4.5162
2023-06-17,4.5162
2023-06-18,4.5162
2023-06-19,4.5162
2023-06-20,4.4639
2023-06-21,4.5298
2023-06-22,4.5694
2023-06-23,4.5821
2023-06-24,4.5821
2023-06-25,4.5821
2023-06-26,4.6258
2023-06-27,4.7752
2023-06-28,4.7849
2023-06-29,4.8461
2023-06-30,5.7315
2023-07-01,5.7315
2023-07-02,5.7315
