,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity,TRS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2022-07-22,27.1687,27.4457,26.9313,27.426,109094.0
2022-07-23,27.1687,27.4457,26.9313,27.426,109094.0
2022-07-24,27.1687,27.4457,26.9313,27.426,109094.0
2022-07-25,27.3864,27.8613,27.2281,27.426,85215.0
2022-07-26,27.3666,27.7821,27.327,27.5447,62293.0
2022-07-27,27.5744,28.4797,27.1588,28.0295,83996.0
2022-07-28,28.2472,29.4839,27.7129,28.6726,81272.0
2022-07-29,28.4549,29.6917,28.2422,29.286,133319.0
2022-07-30,28.4549,29.6917,28.2422,29.286,133319.0
2022-07-31,28.4549,29.6917,28.2422,29.286,133319.0
2022-08-01,29.1079,29.7708,28.9199,29.6224,106889.0
2022-08-02,29.4443,29.4938,28.5737,28.5934,61360.0
2022-08-03,28.6826,29.1185,28.3755,28.752,60375.0
2022-08-04,28.7123,28.7965,28.0188,28.4151,66240.0
2022-08-05,28.0981,29.1185,28.0386,28.2269,45393.0
2022-08-06,28.0981,29.1185,28.0386,28.2269,45393.0
2022-08-07,28.0981,29.1185,28.0386,28.2269,45393.0
2022-08-08,28.2368,28.4944,27.9693,28.217,76225.0
2022-08-09,28.2467,29.0442,27.8999,28.1971,74910.0
2022-08-10,28.5736,28.9006,28.2219,28.4448,51512.0
2022-08-11,28.5241,28.8709,28.3061,28.752,62834.0
2022-08-12,28.9798,29.3316,28.7222,29.2771,69129.0
2022-08-13,28.9798,29.3316,28.7222,29.2771,69129.0
2022-08-14,28.9798,29.3316,28.7222,29.2771,69129.0
2022-08-15,29.1879,29.5644,28.9402,29.4752,56749.0
2022-08-16,29.3266,29.8913,29.2275,29.7824,95674.0
2022-08-17,29.4752,30.0548,29.2374,29.7031,87757.0
2022-08-18,29.604,30.0201,29.3662,29.9904,60329.0
2022-08-19,29.713,31.0505,28.96,29.6734,96488.0
2022-08-20,29.713,31.0505,28.96,29.6734,96488.0
2022-08-21,29.713,31.0505,28.96,29.6734,96488.0
2022-08-22,29.2771,29.3266,28.8857,29.2077,61177.0
2022-08-23,29.2969,29.5093,28.8907,29.2771,76708.0
2022-08-24,29.1879,29.3761,28.7731,29.069,64447.0
2022-08-25,29.1978,29.3815,28.8808,28.9897,47205.0
2022-08-26,28.9006,29.8872,27.7711,27.8702,70430.0
2022-08-27,28.9006,29.8872,27.7711,27.8702,70430.0
2022-08-28,28.9006,29.8872,27.7711,27.8702,70430.0
2022-08-29,27.7315,27.8801,27.3946,27.5531,47353.0
2022-08-30,27.7216,27.7711,27.0082,27.2361,41952.0
2022-08-31,27.4442,28.4795,26.8695,27.2658,115167.0
2022-09-01,27.0082,27.2757,26.175,26.6317,47351.0
2022-09-02,26.7407,27.1271,26.3494,26.5624,66567.0
2022-09-03,26.7407,27.1271,26.3494,26.5624,66567.0
2022-09-04,26.7407,27.1271,26.3494,26.5624,66567.0
2022-09-05,26.7407,27.1271,26.3494,26.5624,66567.0
2022-09-06,26.6912,26.6912,26.0422,26.1958,56294.0
2022-09-07,26.2057,26.8398,26.1066,26.7209,78247.0
2022-09-08,26.4336,26.5723,26.1363,26.384,70839.0
2022-09-09,26.6317,27.0578,26.5277,27.0578,75825.0
2022-09-10,26.6317,27.0578,26.5277,27.0578,75825.0
2022-09-11,26.6317,27.0578,26.5277,27.0578,75825.0
2022-09-12,27.2955,27.619,26.9884,27.355,48117.0
2022-09-13,27.1866,27.3253,26.285,26.3939,79428.0
2022-09-14,26.3543,26.602,25.6211,25.9382,88377.0
2022-09-15,25.8787,26.067,25.6013,25.7202,94926.0
2022-09-16,25.4824,26.0373,24.8583,25.9679,318357.0
2022-09-17,25.4824,26.0373,24.8583,25.9679,318357.0
2022-09-18,25.4824,26.0373,24.8583,25.9679,318357.0
2022-09-19,25.7698,26.5822,25.7499,26.5029,83142.0
2022-09-20,26.5128,26.5128,25.3401,26.2552,105518.0
2022-09-21,26.3642,26.7011,26.0967,26.2552,172079.0
2022-09-22,26.1562,26.1859,25.6806,25.9283,99696.0
2022-09-23,25.641,25.641,25.1456,25.4924,152468.0
2022-09-24,25.641,25.641,25.1456,25.4924,152468.0
2022-09-25,25.641,25.641,25.1456,25.4924,152468.0
2022-09-26,25.2645,25.7499,24.6601,25.0366,176819.0
2022-09-27,25.1654,27.1469,24.5908,24.6205,174603.0
2022-09-28,24.8186,25.7103,24.5511,25.4924,177137.0
2022-09-29,25.2348,25.2348,24.3629,24.5908,196343.0
