,AMGN US Equity
,BEST_EPS
2022-08-08,20.579
2022-08-09,20.507
2022-08-10,20.507
2022-08-11,20.52
2022-08-12,20.52
2022-08-13,20.52
2022-08-14,20.584
2022-08-15,20.584
2022-08-16,20.584
2022-08-17,20.584
2022-08-18,20.584
2022-08-19,20.584
2022-08-20,20.584
2022-08-21,20.584
2022-08-22,20.584
2022-08-23,20.584
2022-08-24,20.584
2022-08-25,20.584
2022-08-26,20.584
2022-08-27,20.584
2022-08-28,20.584
2022-08-29,20.584
2022-08-30,20.584
2022-08-31,20.584
2022-09-01,20.58
2022-09-02,20.58
2022-09-03,20.58
2022-09-04,20.58
2022-09-05,20.58
2022-09-06,20.58
2022-09-07,20.58
2022-09-08,20.58
2022-09-09,20.58
2022-09-10,20.58
2022-09-11,20.58
2022-09-12,20.503
2022-09-13,20.494
2022-09-14,20.494
2022-09-15,20.494
2022-09-16,20.494
2022-09-17,20.494
2022-09-18,20.494
2022-09-19,20.464
2022-09-20,20.464
2022-09-21,20.464
2022-09-22,20.464
2022-09-23,20.464
2022-09-24,20.464
2022-09-25,20.464
2022-09-26,20.464
2022-09-27,20.464
2022-09-28,20.464
2022-09-29,20.464
2022-09-30,20.455
2022-10-01,20.455
2022-10-02,20.455
2022-10-03,20.455
2022-10-04,20.455
2022-10-05,20.455
2022-10-06,20.449
2022-10-07,20.449
2022-10-08,20.449
2022-10-09,20.449
2022-10-10,20.45
2022-10-11,20.086
2022-10-12,20.07
2022-10-13,20.07
2022-10-14,20.07
2022-10-15,20.07
2022-10-16,20.07
2022-10-17,20.07
2022-10-18,20.074
2022-10-19,20.074
2022-10-20,20.132
2022-10-21,20.046
2022-10-22,20.053
2022-10-23,20.053
2022-10-24,20.066
2022-10-25,20.066
2022-10-26,20.063
2022-10-27,20.063
2022-10-28,20.063
2022-10-29,20.063
2022-10-30,20.063
2022-10-31,20.063
2022-11-01,20.063
2022-11-02,20.063
2022-11-03,20.252
2022-11-04,20.19
2022-11-05,20.19
2022-11-06,20.19
2022-11-07,20.246
2022-11-08,20.246
2022-11-09,20.246
2022-11-10,20.246
2022-11-11,20.153
2022-11-12,20.153
2022-11-13,20.153
2022-11-14,20.153
2022-11-15,20.163
2022-11-16,20.123
2022-11-17,20.136
2022-11-18,20.136
2022-11-19,20.136
2022-11-20,20.136
2022-11-21,20.136
2022-11-22,20.136
2022-11-23,20.136
2022-11-24,20.136
2022-11-25,20.136
2022-11-26,20.136
2022-11-27,20.136
2022-11-28,20.136
2022-11-29,20.136
2022-11-30,20.091
2022-12-01,20.091
2022-12-02,20.091
2022-12-03,20.091
2022-12-04,20.159
2022-12-05,20.089
2022-12-06,20.089
2022-12-07,20.089
2022-12-08,20.089
2022-12-09,20.089
2022-12-10,20.089
2022-12-11,20.089
2022-12-12,20.196
2022-12-13,20.21
2022-12-14,20.21
2022-12-15,20.21
2022-12-16,20.132
2022-12-17,20.132
2022-12-18,20.132
2022-12-19,20.132
2022-12-20,20.137
2022-12-21,20.136
2022-12-22,20.136
2022-12-23,20.136
2022-12-24,20.136
2022-12-25,20.136
2022-12-26,20.136
2022-12-27,20.136
2022-12-28,20.136
2022-12-29,20.136
2022-12-30,20.136
2022-12-31,20.136
2023-01-01,20.136
2023-01-02,20.136
2023-01-03,20.237
2023-01-04,20.237
2023-01-05,20.35
2023-01-06,20.35
2023-01-07,20.35
2023-01-08,20.35
2023-01-09,20.35
2023-01-10,20.35
2023-01-11,20.35
2023-01-12,20.35
2023-01-13,20.35
2023-01-14,20.35
2023-01-15,20.35
2023-01-16,20.35
2023-01-17,20.35
2023-01-18,20.244
2023-01-19,20.244
2023-01-20,20.244
2023-01-21,20.244
2023-01-22,20.244
2023-01-23,20.245
2023-01-24,20.245
2023-01-25,20.23
2023-01-26,20.248
2023-01-27,20.248
2023-01-28,20.248
2023-01-29,20.248
2023-01-30,20.215
2023-01-31,20.094
2023-02-01,19.876
2023-02-02,19.831
2023-02-03,19.831
2023-02-04,19.831
2023-02-05,19.831
2023-02-06,19.817
2023-02-07,19.719
2023-02-08,19.719
2023-02-09,19.719
2023-02-10,19.725
2023-02-11,19.725
2023-02-12,19.633
2023-02-13,19.616
2023-02-14,19.687
2023-02-15,19.687
2023-02-16,19.687
2023-02-17,19.687
2023-02-18,19.687
2023-02-19,19.687
2023-02-20,19.669
2023-02-21,19.669
2023-02-22,19.669
2023-02-23,19.669
2023-02-24,19.345
2023-02-25,19.345
2023-02-26,19.345
2023-02-27,19.345
2023-02-28,19.345
2023-03-01,19.345
2023-03-02,19.345
2023-03-03,19.345
2023-03-04,19.345
2023-03-05,19.345
2023-03-06,19.345
2023-03-07,19.345
2023-03-08,19.345
2023-03-09,19.345
2023-03-10,19.345
2023-03-11,19.345
2023-03-12,19.345
2023-03-13,19.345
2023-03-14,19.345
2023-03-15,19.345
2023-03-16,19.303
2023-03-17,19.303
2023-03-18,19.303
2023-03-19,19.303
2023-03-20,19.303
2023-03-21,19.304
2023-03-22,19.304
2023-03-23,19.304
2023-03-24,19.373
2023-03-25,19.373
2023-03-26,19.373
2023-03-27,19.373
2023-03-28,19.373
2023-03-29,19.373
2023-03-30,19.373
2023-03-31,19.373
2023-04-01,19.373
2023-04-02,19.373
2023-04-03,19.373
2023-04-04,19.373
2023-04-05,19.373
2023-04-06,19.29
2023-04-07,19.29
2023-04-08,19.29
2023-04-09,19.29
2023-04-10,19.29
2023-04-11,19.291
2023-04-12,19.27
2023-04-13,19.166
2023-04-14,19.232
2023-04-15,19.232
2023-04-16,19.23
2023-04-17,19.23
2023-04-18,19.222
2023-04-19,19.222
2023-04-20,19.222
2023-04-21,19.204
2023-04-22,19.204
2023-04-23,19.204
2023-04-24,19.204
2023-04-25,19.204
2023-04-26,19.204
2023-04-27,19.3
2023-04-28,19.298
2023-04-29,19.303
2023-04-30,19.3
2023-05-01,19.297
2023-05-02,19.087
2023-05-03,19.097
2023-05-04,19.097
2023-05-05,19.097
2023-05-06,19.097
2023-05-07,19.097
2023-05-08,19.203
2023-05-09,19.207
2023-05-10,19.207
2023-05-11,19.257
2023-05-12,19.257
2023-05-13,19.257
2023-05-14,19.257
2023-05-15,19.257
2023-05-16,19.258
2023-05-17,19.237
2023-05-18,19.237
2023-05-19,19.214
2023-05-20,19.214
2023-05-21,19.214
2023-05-22,19.214
2023-05-23,19.214
2023-05-24,19.214
2023-05-25,19.221
2023-05-26,19.221
2023-05-27,19.221
2023-05-28,19.221
2023-05-29,19.221
2023-05-30,19.221
2023-05-31,19.221
2023-06-01,19.221
2023-06-02,19.221
2023-06-03,19.221
2023-06-04,19.221
2023-06-05,19.221
2023-06-06,19.221
2023-06-07,19.221
2023-06-08,19.221
2023-06-09,19.221
2023-06-10,19.221
2023-06-11,19.221
2023-06-12,19.221
2023-06-13,19.221
2023-06-14,19.221
2023-06-15,19.221
2023-06-16,19.221
2023-06-17,19.221
2023-06-18,19.221
2023-06-19,19.221
2023-06-20,19.221
2023-06-21,19.221
2023-06-22,19.221
2023-06-23,19.221
2023-06-24,19.221
2023-06-25,19.221
2023-06-26,19.225
2023-06-27,19.225
2023-06-28,19.225
2023-06-29,19.225
2023-06-30,19.225
2023-07-01,19.225
2023-07-02,19.225
2023-07-03,19.234
2023-07-04,19.234
2023-07-05,19.234
2023-07-06,19.177
2023-07-07,19.177
2023-07-08,19.177
2023-07-09,19.177
2023-07-10,19.177
2023-07-11,19.174
2023-07-12,19.158
2023-07-13,19.145
2023-07-14,19.145
2023-07-15,19.145
2023-07-16,19.145
2023-07-17,19.141
2023-07-18,19.129
2023-07-19,18.92
2023-07-20,18.913
2023-07-21,18.901
2023-07-22,18.887
2023-07-23,18.894
2023-07-24,18.928
2023-07-25,18.928
2023-07-26,18.948
2023-07-27,18.948
2023-07-28,18.948
2023-07-29,18.948
2023-07-30,18.948
