,ETR US Equity
,RSI_30D
2022-10-12,35.2445
2022-10-13,40.0326
2022-10-14,39.6139
2022-10-15,39.6139
2022-10-16,39.6139
2022-10-17,41.131
2022-10-18,43.5072
2022-10-19,42.0976
2022-10-20,40.6781
2022-10-21,43.2718
2022-10-22,43.2718
2022-10-23,43.2718
2022-10-24,43.3271
2022-10-25,45.9515
2022-10-26,45.9241
2022-10-27,46.2664
2022-10-28,49.1659
2022-10-29,49.1659
2022-10-30,49.1659
2022-10-31,48.5734
2022-11-01,49.8244
2022-11-02,50.2908
2022-11-03,50.9237
2022-11-04,52.38
2022-11-05,52.38
2022-11-06,52.38
2022-11-07,49.8766
2022-11-08,49.4077
2022-11-09,48.3898
2022-11-10,53.7338
2022-11-11,53.265
2022-11-12,53.265
2022-11-13,53.265
2022-11-14,50.9437
2022-11-15,51.9586
2022-11-16,52.5863
2022-11-17,51.1014
2022-11-18,54.2896
2022-11-19,54.2896
2022-11-20,54.2896
2022-11-21,55.3934
2022-11-22,54.956
2022-11-23,55.2303
2022-11-24,55.2303
2022-11-25,56.0404
2022-11-26,56.0404
2022-11-27,56.0404
2022-11-28,55.3842
2022-11-29,54.8001
2022-11-30,58.3717
2022-12-01,58.4012
2022-12-02,57.8502
2022-12-03,57.8502
2022-12-04,57.8502
2022-12-05,57.1211
2022-12-06,58.8867
2022-12-07,57.3172
2022-12-08,58.3798
2022-12-09,58.185
2022-12-10,58.185
2022-12-11,58.185
2022-12-12,59.8174
2022-12-13,59.7386
2022-12-14,59.8371
2022-12-15,57.182
2022-12-16,53.687
2022-12-17,53.687
2022-12-18,53.687
2022-12-19,51.8516
2022-12-20,51.3663
2022-12-21,53.0673
2022-12-22,51.0917
2022-12-23,52.0545
2022-12-24,52.0545
2022-12-25,52.0545
2022-12-26,52.0545
2022-12-27,53.7075
2022-12-28,51.224
2022-12-29,52.681
2022-12-30,50.4671
2022-12-31,50.4671
2023-01-01,50.4671
2023-01-02,50.4671
2023-01-03,46.2093
2023-01-04,46.3205
2023-01-05,40.3354
2023-01-06,45.6021
