,BY US Equity
,RSI_30D
2022-10-10,40.7175
2022-10-11,40.1624
2022-10-12,40.9199
2022-10-13,48.2406
2022-10-14,47.2315
2022-10-15,47.2315
2022-10-16,47.2315
2022-10-17,48.7113
2022-10-18,48.7113
2022-10-19,48.3486
2022-10-20,47.7357
2022-10-21,51.0119
2022-10-22,51.0119
2022-10-23,51.0119
2022-10-24,53.4392
2022-10-25,55.4977
2022-10-26,54.7532
2022-10-27,54.5467
2022-10-28,57.9374
2022-10-29,57.9374
2022-10-30,57.9374
2022-10-31,55.8519
2022-11-01,54.6313
2022-11-02,52.3939
2022-11-03,51.4326
2022-11-04,54.5928
2022-11-05,54.5928
2022-11-06,54.5928
2022-11-07,54.87
2022-11-08,54.5942
2022-11-09,51.1367
2022-11-10,57.1791
2022-11-11,54.3248
2022-11-12,54.3248
2022-11-13,54.3248
2022-11-14,53.1903
2022-11-15,53.1903
2022-11-16,52.572
2022-11-17,51.0375
2022-11-18,51.737
2022-11-19,51.737
2022-11-20,51.737
2022-11-21,52.0324
2022-11-22,51.3175
2022-11-23,50.7277
2022-11-24,50.7277
2022-11-25,50.3288
2022-11-26,50.3288
2022-11-27,50.3288
2022-11-28,48.1107
2022-11-29,48.9325
2022-11-30,52.6793
2022-12-01,52.2011
2022-12-02,51.7843
2022-12-03,51.7843
2022-12-04,51.7843
2022-12-05,49.2745
2022-12-06,49.9527
2022-12-07,51.1683
2022-12-08,52.5591
2022-12-09,52.6919
2022-12-10,52.6919
2022-12-11,52.6919
2022-12-12,55.4636
2022-12-13,58.505
2022-12-14,55.2759
2022-12-15,49.3753
2022-12-16,50.5286
2022-12-17,50.5286
2022-12-18,50.5286
2022-12-19,51.8428
2022-12-20,49.9102
2022-12-21,53.0084
2022-12-22,50.9774
2022-12-23,52.0712
2022-12-24,52.0712
2022-12-25,52.0712
2022-12-26,52.0712
2022-12-27,51.1394
2022-12-28,50.0885
2022-12-29,53.5719
2022-12-30,52.1903
2022-12-31,52.1903
2023-01-01,52.1903
2023-01-02,52.1903
2023-01-03,50.7142
2023-01-04,50.5909
2023-01-05,49.7768
2023-01-06,52.8555
2023-01-07,52.8555
2023-01-08,52.8555
2023-01-09,51.262
2023-01-10,52.3324
2023-01-11,52.0695
2023-01-12,53.2833
2023-01-13,53.4054
2023-01-14,53.4054
2023-01-15,53.4054
2023-01-16,53.4054
2023-01-17,52.4833
2023-01-18,49.4272
2023-01-19,49.2953
2023-01-20,51.3125
2023-01-21,51.3125
2023-01-22,51.3125
2023-01-23,52.4857
2023-01-24,51.0024
2023-01-25,49.7555
2023-01-26,50.5202
2023-01-27,58.9759
2023-01-28,58.9759
2023-01-29,58.9759
2023-01-30,59.0763
2023-01-31,61.6967
2023-02-01,62.3888
2023-02-02,65.2468
2023-02-03,66.0158
2023-02-04,66.0158
2023-02-05,66.0158
2023-02-06,63.9288
2023-02-07,64.5725
2023-02-08,62.126
2023-02-09,60.2086
2023-02-10,60.9753
2023-02-11,60.9753
2023-02-12,60.9753
2023-02-13,61.4555
2023-02-14,59.7814
2023-02-15,59.7049
2023-02-16,59.0794
2023-02-17,59.7876
2023-02-18,59.7876
2023-02-19,59.7876
2023-02-20,59.7876
2023-02-21,56.0081
2023-02-22,57.3183
2023-02-23,57.4323
2023-02-24,56.4954
2023-02-25,56.4954
2023-02-26,56.4954
2023-02-27,56.258
2023-02-28,55.8535
2023-03-01,57.9792
2023-03-02,56.0892
2023-03-03,56.9724
2023-03-04,56.9724
2023-03-05,56.9724
2023-03-06,53.4754
2023-03-07,50.6261
