,POOL US Equity
,BEST_DIV_YLD
2023-04-24,1.332
2023-04-25,1.385
2023-04-26,1.404
2023-04-27,1.364
2023-04-28,1.29
2023-04-29,1.29
2023-04-30,1.29
2023-05-01,1.307
2023-05-02,1.306
2023-05-03,1.288
2023-05-04,1.314
2023-05-05,1.28
2023-05-06,1.28
2023-05-07,1.28
2023-05-08,1.283
2023-05-09,1.291
2023-05-10,1.29
2023-05-11,1.302
2023-05-12,1.338
2023-05-13,1.338
2023-05-14,1.338
2023-05-15,1.324
2023-05-16,1.326
2023-05-17,1.316
2023-05-18,1.279
2023-05-19,1.309
2023-05-20,1.309
2023-05-21,1.309
2023-05-22,1.318
2023-05-23,1.336
2023-05-24,1.353
2023-05-25,1.381
2023-05-26,1.377
2023-05-27,1.377
2023-05-28,1.377
2023-05-29,1.377
2023-05-30,1.399
2023-05-31,1.428
2023-06-01,1.443
2023-06-02,1.384
2023-06-03,1.384
2023-06-04,1.384
2023-06-05,1.38
2023-06-06,1.343
2023-06-07,1.333
2023-06-08,1.391
2023-06-09,1.384
2023-06-10,1.384
2023-06-11,1.384
2023-06-12,1.354
2023-06-13,1.341
2023-06-14,1.308
2023-06-15,1.263
2023-06-16,1.262
2023-06-17,1.262
2023-06-18,1.262
2023-06-19,1.262
2023-06-20,1.278
2023-06-21,1.266
2023-06-22,1.29
2023-06-23,1.282
2023-06-24,1.282
2023-06-25,1.282
2023-06-26,1.276
2023-06-27,1.233
2023-06-28,1.22
2023-06-29,1.219
2023-06-30,1.206
2023-07-01,1.206
2023-07-02,1.206
2023-07-03,1.216
2023-07-04,1.216
2023-07-05,1.217
2023-07-06,1.24
2023-07-07,1.235
2023-07-08,1.235
2023-07-09,1.235
2023-07-10,1.2
